DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02010055	{organism} organ	{organism} stomach	'animal stomach' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'stomach'		A whole animal stomach that is obtained from a{n} {organism}.						beef|sheep|goat|veal|antelope	pork				giraffe																								
	FOODON:02010056	{organism} organ	{organism} ear	'animal ear' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'ear'		A whole animal ear that is obtained from a{n} {organism}.							pork																												
	FOODON:02010057	{organism} organ	{organism} small intestine	'animal small intestine' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'small intestine'		A whole animal small intestine that is obtained from a{n} {organism}.						lamb	pork																												
	FOODON:02010058	{organism} organ	{organism} organ (raw)	'{organism} organ' and 'has quality' some 'raw'			A raw animal organ that is obtained from a{n} {organism} during a butchery process.					chicken|turkey	beef|veal|lamb	pork				giraffe										rabbit														
	FOODON:02010059	{organism} heart	{organism} heart (raw)	'{organism} heart' and 'has quality' some 'raw'			A raw heart that is obtained from a{n} {organism}.		raw {organism} heart 			chicken|turkey	beef|veal|lamb	pork									steller sea lion																			
	FOODON:02010060	{organism} brain	{organism} brain (raw)	'{organism} brain' and 'has quality' some 'raw'			A raw brain that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb	pork																												
	FOODON:02010061	{organism} kidney	{organism} kidney (raw)	'{organism} kidney' and 'has quality' some 'raw'			A raw kidney that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb|sheep|sheep	pork									steller sea lion																			
	FOODON:02010062	{organism} liver	{organism} liver (raw)	'{organism} liver' and 'has quality' some 'raw'			A raw liver that is obtained from a{n} {organism}.					chicken|turkey|duck|goose	beef|veal|lamb|sheep	pork		reindeer|moose							steller sea lion|walrus					rabbit														
	FOODON:02010063	{organism} spleen	{organism} spleen (raw)	'{organism} spleen' and 'has quality' some 'raw'			A raw spleen that is obtained from a{n} {organism}.					chicken	beef|veal|lamb	pork																												
	FOODON:02010064	{organism} lung	{organism} lung (raw)	'{organism} lung' and 'has quality' some 'raw'			A raw lung that is obtained from a{n} {organism}.						beef|veal|lamb|sheep	pork																												
	FOODON:02010065	{organism} gizzard	{organism} gizzard (raw)	'{organism} gizzard' and 'has quality' some 'raw'			A raw gizzard that is obtained from a{n} {organism}.					chicken|turkey																														
	FOODON:02010066	{organism} tongue	{organism} tongue (raw)	'{organism} tongue' and 'has quality' some 'raw'			A raw tongue that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb	pork		reindeer																										
	FOODON:02020007	{organism} rectum	{organism} rectum (raw)	'{organism} rectum' and 'has quality' some 'raw'			A raw rectum that is obtained from a{n} {organism}.																																			
	FOODON:02010067	{organism} thymus	{organism} thymus (raw)	'{organism} thymus' and 'has quality' some 'raw'			A raw thymus that is obtained from a{n} {organism}.						beef|veal|lamb	pork																												
	FOODON:02010068	{organism} pancreas	{organism} pancreas (raw)	'{organism} pancreas' and 'has quality' some 'raw'			A raw pancreas that is obtained from a{n} {organism}.						beef|veal|lamb	pork																												
	FOODON:02010069	{organism} ovary	{organism} ovary (raw)	'{organism} ovary' and 'has quality' some 'raw'			A raw ovary that is obtained from a{n} {organism}.																																			
	FOODON:02010070	{organism} testicle	{organism} testicle (raw)	'{organism} testicle' and 'has quality' some 'raw'			A raw testicle that is obtained from a{n} {organism}.						beef|lamb																													
	FOODON:02010071	{organism} stomach	{organism} stomach (raw)	'{organism} stomach' and 'has quality' some 'raw'			A raw stomach that is obtained from a{n} {organism}.						beef|sheep|goat|veal|antelope	pork				giraffe																								
	FOODON:02010072	{organism} ear	{organism} ear (raw)	'{organism} ear' and 'has quality' some 'raw'			A raw ear that is obtained from a{n} {organism}.							pork																												
	FOODON:02010073	{organism} small intestine	{organism} small intestine (raw)	'{organism} small intestine' and 'has quality' some 'raw'			A raw small intestine that is obtained from a{n} {organism}.						lamb	pork																												
	FOODON:02010074	piece of {organism_base}	piece of {organism} organ	'piece of {organism_base}' and 'derives from' some '{organism} organ'			A piece of a{n} {organism} organ.					chicken|turkey|ruffed grouse|goose	beef|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar				giraffe					steller sea lion|walrus																			
